460,Country:country-code,CXR,162
461,Country:iso_3166-2,CXR,ISO 3166-2:CX
462,Country:region,CXR,Oceania
463,Country:sub-region,CXR,Australia and New Zealand
464,Country:region-code,CXR,009
465,Country:sub-region-code,CXR,053
466,Country:name,CCK,Cocos (Keeling) Islands
467,Country:alpha-2,CCK,CC
468,Country:alpha-3,CCK,CCK
469,Country:country-code,CCK,166
470,Country:iso_3166-2,CCK,ISO 3166-2:CC
471,Country:region,CCK,Oceania
472,Country:sub-region,CCK,Australia and New Zealand
473,Country:region-code,CCK,009
474,Country:sub-region-code,CCK,053
475,Country:name,COL,Colombia
476,Country:alpha-2,COL,CO
477,Country:alpha-3,COL,COL
478,Country:country-code,COL,170
479,Country:iso_3166-2,COL,ISO 3166-2:CO
480,Country:region,COL,Americas
481,Country:sub-region,COL,Latin America and the Caribbean
482,Country:intermediate-region,COL,South America
483,Country:region-code,COL,019
484,Country:sub-region-code,COL,419
485,Country:intermediate-region-code,COL,005
486,Country:name,COM,Comoros
487,Country:alpha-2,COM,KM
488,Country:alpha-3,COM,COM
489,Country:country-code,COM,174
490,Country:iso_3166-2,COM,ISO 3166-2:KM
491,Country:region,COM,Africa
492,Country:sub-region,COM,Sub-Saharan Africa
493,Country:intermediate-region,COM,Eastern Africa
494,Country:region-code,COM,002
495,Country:sub-region-code,COM,202
496,Country:intermediate-region-code,COM,014
497,Country:name,COG,Congo
498,Country:alpha-2,COG,CG
499,Country:alpha-3,COG,COG
500,Country:country-code,COG,178
501,Country:iso_3166-2,COG,ISO 3166-2:CG
502,Country:region,COG,Africa
503,Country:sub-region,COG,Sub-Saharan Africa
504,Country:intermediate-region,COG,Middle Africa
505,Country:region-code,COG,002
506,Country:sub-region-code,COG,202
507,Country:intermediate-region-code,COG,017
508,Country:name,COD,Congo, Democratic Republic of the
509,Country:alpha-2,COD,CD
510,Country:alpha-3,COD,COD
511,Country:country-code,COD,180
512,Country:iso_3166-2,COD,ISO 3166-2:CD
513,Country:region,COD,Africa
514,Country:sub-region,COD,Sub-Saharan Africa
515,Country:intermediate-region,COD,Middle Africa
516,Country:region-code,COD,002
517,Country:sub-region-code,COD,202
518,Country:intermediate-region-code,COD,017
519,Country:name,COK,Cook Islands
520,Country:alpha-2,COK,CK
521,Country:alpha-3,COK,COK
522,Country:country-code,COK,184
523,Country:iso_3166-2,COK,ISO 3166-2:CK
524,Country:region,COK,Oceania
525,Country:sub-region,COK,Polynesia
526,Country:region-code,COK,009
527,Country:sub-region-code,COK,061
528,Country:name,CRI,Costa Rica
529,Country:alpha-2,CRI,CR
530,Country:alpha-3,CRI,CRI
531,Country:country-code,CRI,188
532,Country:iso_3166-2,CRI,ISO 3166-2:CR
533,Country:region,CRI,Americas
534,Country:sub-region,CRI,Latin America and the Caribbean
535,Country:intermediate-region,CRI,Central America
536,Country:region-code,CRI,019
537,Country:sub-region-code,CRI,419
538,Country:intermediate-region-code,CRI,013
539,Country:name,CIV,Côte d'Ivoire
540,Country:alpha-2,CIV,CI
541,Country:alpha-3,CIV,CIV
542,Country:country-code,CIV,384
543,Country:iso_3166-2,CIV,ISO 3166-2:CI
544,Country:region,CIV,Africa
545,Country:sub-region,CIV,Sub-Saharan Africa
546,Country:intermediate-region,CIV,Western Africa
547,Country:region-code,CIV,002
548,Country:sub-region-code,CIV,202
549,Country:intermediate-region-code,CIV,011
550,Country:name,HRV,Croatia
551,Country:alpha-2,HRV,HR
552,Country:alpha-3,HRV,HRV
553,Country:country-code,HRV,191
554,Country:iso_3166-2,HRV,ISO 3166-2:HR
555,Country:region,HRV,Europe
556,Country:sub-region,HRV,Southern Europe
557,Country:region-code,HRV,150
558,Country:sub-region-code,HRV,039
559,Country:name,CUB,Cuba
560,Country:alpha-2,CUB,CU
561,Country:alpha-3,CUB,CUB
562,Country:country-code,CUB,192
563,Country:iso_3166-2,CUB,ISO 3166-2:CU
564,Country:region,CUB,Americas
565,Country:sub-region,CUB,Latin America and the Caribbean
566,Country:intermediate-region,CUB,Caribbean
567,Country:region-code,CUB,019
568,Country:sub-region-code,CUB,419
569,Country:intermediate-region-code,CUB,029
570,Country:name,CUW,Curaçao
571,Country:alpha-2,CUW,CW
572,Country:alpha-3,CUW,CUW
573,Country:country-code,CUW,531
574,Country:iso_3166-2,CUW,ISO 3166-2:CW
575,Country:region,CUW,Americas
576,Country:sub-region,CUW,Latin America and the Caribbean
577,Country:intermediate-region,CUW,Caribbean
578,Country:region-code,CUW,019
579,Country:sub-region-code,CUW,419
580,Country:intermediate-region-code,CUW,029
581,Country:name,CYP,Cyprus
582,Country:alpha-2,CYP,CY
583,Country:alpha-3,CYP,CYP
584,Country:country-code,CYP,196
585,Country:iso_3166-2,CYP,ISO 3166-2:CY
586,Country:region,CYP,Asia
587,Country:sub-region,CYP,Western Asia
588,Country:region-code,CYP,142
589,Country:sub-region-code,CYP,145
590,Country:name,CZE,Czechia
591,Country:alpha-2,CZE,CZ
592,Country:alpha-3,CZE,CZE
593,Country:country-code,CZE,203
594,Country:iso_3166-2,CZE,ISO 3166-2:CZ
595,Country:region,CZE,Europe
596,Country:sub-region,CZE,Eastern Europe
597,Country:region-code,CZE,150
598,Country:sub-region-code,CZE,151
599,Country:name,DNK,Denmark
600,Country:alpha-2,DNK,DK
601,Country:alpha-3,DNK,DNK
602,Country:country-code,DNK,208
603,Country:iso_3166-2,DNK,ISO 3166-2:DK
604,Country:region,DNK,Europe
605,Country:sub-region,DNK,Northern Europe
606,Country:region-code,DNK,150
607,Country:sub-region-code,DNK,154
608,Country:name,DJI,Djibouti
609,Country:alpha-2,DJI,DJ
610,Country:alpha-3,DJI,DJI
611,Country:country-code,DJI,262
612,Country:iso_3166-2,DJI,ISO 3166-2:DJ
613,Country:region,DJI,Africa
614,Country:sub-region,DJI,Sub-Saharan Africa
615,Country:intermediate-region,DJI,Eastern Africa
616,Country:region-code,DJI,002
617,Country:sub-region-code,DJI,202
618,Country:intermediate-region-code,DJI,014
619,Country:name,DMA,Dominica
620,Country:alpha-2,DMA,DM
621,Country:alpha-3,DMA,DMA
622,Country:country-code,DMA,212
623,Country:iso_3166-2,DMA,ISO 3166-2:DM
624,Country:region,DMA,Americas
625,Country:sub-region,DMA,Latin America and the Caribbean
626,Country:intermediate-region,DMA,Caribbean
627,Country:region-code,DMA,019
628,Country:sub-region-code,DMA,419
629,Country:intermediate-region-code,DMA,029
630,Country:name,DOM,Dominican Republic
631,Country:alpha-2,DOM,DO
632,Country:alpha-3,DOM,DOM
633,Country:country-code,DOM,214
634,Country:iso_3166-2,DOM,ISO 3166-2:DO
635,Country:region,DOM,Americas
636,Country:sub-region,DOM,Latin America and the Caribbean
637,Country:intermediate-region,DOM,Caribbean
638,Country:region-code,DOM,019
639,Country:sub-region-code,DOM,419
640,Country:intermediate-region-code,DOM,029
641,Country:name,ECU,Ecuador
642,Country:alpha-2,ECU,EC
643,Country:alpha-3,ECU,ECU
644,Country:country-code,ECU,218
645,Country:iso_3166-2,ECU,ISO 3166-2:EC
646,Country:region,ECU,Americas
647,Country:sub-region,ECU,Latin America and the Caribbean
648,Country:intermediate-region,ECU,South America
649,Country:region-code,ECU,019
650,Country:sub-region-code,ECU,419
651,Country:intermediate-region-code,ECU,005
652,Country:name,EGY,Egypt
653,Country:alpha-2,EGY,EG
654,Country:alpha-3,EGY,EGY
655,Country:country-code,EGY,818
656,Country:iso_3166-2,EGY,ISO 3166-2:EG
657,Country:region,EGY,Africa
658,Country:sub-region,EGY,Northern Africa
659,Country:region-code,EGY,002
660,Country:sub-region-code,EGY,015
661,Country:name,SLV,El Salvador
662,Country:alpha-2,SLV,SV
663,Country:alpha-3,SLV,SLV
664,Country:country-code,SLV,222
665,Country:iso_3166-2,SLV,ISO 3166-2:SV
666,Country:region,SLV,Americas
667,Country:sub-region,SLV,Latin America and the Caribbean
668,Country:intermediate-region,SLV,Central America
669,Country:region-code,SLV,019
670,Country:sub-region-code,SLV,419
671,Country:intermediate-region-code,SLV,013
672,Country:name,GNQ,Equatorial Guinea
673,Country:alpha-2,GNQ,GQ
674,Country:alpha-3,GNQ,GNQ
675,Country:country-code,GNQ,226
676,Country:iso_3166-2,GNQ,ISO 3166-2:GQ
677,Country:region,GNQ,Africa
678,Country:sub-region,GNQ,Sub-Saharan Africa
679,Country:intermediate-region,GNQ,Middle Africa
680,Country:region-code,GNQ,002
681,Country:sub-region-code,GNQ,202
682,Country:intermediate-region-code,GNQ,017
683,Country:name,ERI,Eritrea
684,Country:alpha-2,ERI,ER
685,Country:alpha-3,ERI,ERI
686,Country:country-code,ERI,232
687,Country:iso_3166-2,ERI,ISO 3166-2:ER
688,Country:region,ERI,Africa
689,Country:sub-region,ERI,Sub-Saharan Africa
690,Country:intermediate-region,ERI,Eastern Africa
691,Country:region-code,ERI,002
692,Country:sub-region-code,ERI,202
